name_town;group_town;insee_town
Saint-Germain-du-Seudre;Sud-Est;17 342
Saint-Grégoire-d'Ardennes;Sud-Est;17 343
Saint-Hilaire-de-Villefranche;Nord-Est;17 344
Saint-Hilaire-du-Bois;Sud-Est;17 345
Saint-Hippolyte;Sud-Ouest;17 346
Saint-Jean-d'Angély;Nord-Est;17 347
Saint-Jean-d'Angle;Sud-Ouest;17 348
Saint-Jean-de-Liversay;Nord-Ouest;17 349
Saint-Julien-de-l'Escap;Nord-Est;17 350
Saint-Just-Luzac;Sud-Ouest;17 351
Saint-Laurent-de-la-Prée;Sud-Ouest;17 353
Saint-Léger;Sud-Est;17 354
Saint-Loup;Nord-Est;17 356
Saint-Maigrin;Sud-Est;17 357
Saint-Mandé-sur-Brédoire;Nord-Est;17 358
Saint-Mard;Nord-Ouest;17 359
Saint-Martial;Nord-Est;17 361
Saint-Martial-de-Mirambeau;Sud-Est;17 362
Saint-Martial-de-Vitaterne;Sud-Est;17 363
Saint-Martial-sur-Né;Sud-Est;17 364
Saint-Martin-d'Ary;Sud-Est;17 365
Saint-Martin-de-Coux;Sud-Est;17 366
Saint-Martin-de-Juillers;Nord-Est;17 367
Saint-Martin-de-Ré;Nord-Ouest;17 369
Saint-Médard;Sud-Est;17 372
Saint-Médard-d'Aunis;Nord-Ouest;17 373
Saint-Nazaire-sur-Charente;Sud-Ouest;17 375
Saint-Ouen;Nord-Est;17 377
Saint-Ouen-d'Aunis;Nord-Ouest;17 376
Saint-Palais-de-Négrignac;Sud-Est;17 378
Saint-Palais-de-Phiolin;Sud-Est;17 379
Saint-Palais-sur-Mer;Sud-Ouest;17 380
Saint-Pardoult;Nord-Est;17 381
Saint-Pierre-d'Amilly;Nord-Ouest;17 382
Saint-Pierre-de-Juillers;Nord-Est;17 383
Saint-Pierre-de-l'Isle;Nord-Est;17 384
Saint-Pierre-d'Oléron;Sud-Ouest;17 385
Saint-Pierre-du-Palais;Sud-Est;17 386
Saint-Pierre-la-Noue;Nord-Ouest;170 340
Saint-Porchaire;Nord-Est;17 387
Saint-Quantin-de-Rançanne;Sud-Est;17 388
Saint-Rogatien;Nord-Ouest;17 391
Saint-Romain-de-Benet;Sud-Ouest;17 393
Saint-Saturnin-du-Bois;Nord-Ouest;17 394
Saint-Sauvant;Nord-Est;17 395
Saint-Sauveur-d'Aunis;Nord-Ouest;17 396
Saint-Savinien;Nord-Est;17 397
Saint-Seurin-de-Palenne;Sud-Est;17 398
Saint-Sever-de-Saintonge;Nord-Est;17 400
Saint-Séverin-sur-Boutonne;Nord-Est;17 401
Saint-Sigismond-de-Clermont;Sud-Est;17 402
Saint-Simon-de-Bordes;Sud-Est;17 403
Saint-Simon-de-Pellouaille;Nord-Est;17 404
Saint-Sorlin-de-Conac;Sud-Est;17 405
Saint-Sornin;Sud-Ouest;17 406
Saint-Sulpice-d'Arnoult;Nord-Est;17 408
Saint-Sulpice-de-Royan;Sud-Ouest;17 409
Saint-Thomas-de-Conac;Sud-Est;17 410
Saint-Trojan-les-Bains;Sud-Ouest;17 411
Saint-Vaize;Nord-Est;17 412
Saint-Vivien;Nord-Ouest;17 413
Saint-Xandre;Nord-Ouest;17 414
Saleignes;Nord-Est;17 416
Salignac-de-Mirambeau;Sud-Est;17 417
Salignac-sur-Charente;Sud-Est;17 418
Salles-sur-Mer;Nord-Ouest;17 420
Saujon;Sud-Ouest;17 421
Seigné;Nord-Est;17 422
Semillac;Sud-Est;17 423
Semoussac;Sud-Est;17 424
Semussac;Sud-Ouest;17 425
Seure (Le);Nord-Est;17 426
Siecq;Nord-Est;17 427
Sonnac;Nord-Est;17 428
Soubise;Sud-Ouest;17 429
Soubran;Sud-Est;17 430
Soulignonne;Nord-Est;17 431
Souméras;Sud-Est;17 432
Sousmoulins;Sud-Est;17 433
Surgères;Nord-Ouest;17 434
Taillant;Nord-Est;17 435
Taillebourg;Nord-Est;17 436
Talmont-sur-Gironde;Sud-Ouest;17 437
Tanzac;Nord-Est;17 438
Taugon;Nord-Ouest;17 439
Ternant;Nord-Est;17 440
Tesson;Nord-Est;17 441
Thaims;Nord-Est;17 442
Thairé;Nord-Ouest;17 443
Thénac;Nord-Est;17 444
Thézac;Nord-Est;17 445
Thors;Nord-Est;17 446
Thou (Le);Nord-Ouest;17 447
Tonnay-Boutonne;Nord-Est;17 448
Tonnay-Charente;Sud-Ouest;17 449
Torxé;Nord-Est;17 450
Touches-de-Périgny (Les);Nord-Est;17 451
Tremblade (La);Sud-Ouest;17 452
Trizay;Nord-Est;17 453
Tugéras-Saint-Maurice;Sud-Est;17 454
Vallée (La);Nord-Est;17 455
Vanzac;Sud-Est;17 458
Varaize;Nord-Est;17 459
Varzay;Nord-Est;17 460
Vaux-sur-Mer;Sud-Ouest;17 461
Vénérand;Nord-Est;17 462
Vergeroux;Sud-Ouest;17 463
Vergné;Nord-Est;17 464
Vergne (La);Nord-Est;17 465
Vérines;Nord-Ouest;17 466
Vervant;Nord-Est;17 467
Vibrac;Sud-Est;17 468
Villars-en-Pons;Nord-Est;17 469
Villars-les-Bois;Nord-Est;17 470
Villedieu (La);Nord-Est;17 471
Villedoux;Nord-Ouest;17 472
Villemorin;Nord-Est;17 473
Villeneuve-la-Comtesse;Nord-Est;17 474
Villexavier;Sud-Est;17 476
Villiers-Couture;Nord-Est;17 477
Vinax;Nord-Est;17 478
Virollet;Nord-Est;17 479
Virson;Nord-Ouest;17 480
Voissay;Nord-Est;17 481
Vouhé;Nord-Ouest;17 482
Yves;Nord-Ouest;17 483
